"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"9952","Deelek","5","WIN","th7xd",NA,"4-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"9962","Deelek","4","LOSS","CuteMeow",NA,"10-2-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"9972","Deelek","3","WIN","Numatinale",NA,"6-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"9982","Deelek","2","WIN","maims123",NA,"2-2-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","pikaversepocketcup1"
"9992","Deelek","1","WIN","joek0",NA,"0-1-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"10022","ccehk","5","LOSS","Galick",NA,"2-5-0drop","Moltres ex Centiskorch","Ninetales Rapidash","pikaversepocketcup1"
"10032","ccehk","4","LOSS","Sigphale",NA,"4-2-0drop","Moltres ex Centiskorch","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10042","ccehk","3","LOSS","HGgg",NA,"3-4-0drop","Moltres ex Centiskorch","Marowak ex Kabutops","pikaversepocketcup1"
"10052","ccehk","2","WIN","itzDorneles",NA,"0-2-0drop","Moltres ex Centiskorch","Pikachu ex Zebstrika","pikaversepocketcup1"
"10062","ccehk","1","LOSS","jk650",NA,"2-2-0drop","Moltres ex Centiskorch","Charizard ex Moltres ex","pikaversepocketcup1"
"10071","Silentducky303","4","LOSS","Alo",NA,"3-2-0drop","Starmie ex Golduck","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10082","Silentducky303","3","LOSS","Alexmarket",NA,"6-2-0","Starmie ex Golduck","Articuno ex Starmie ex","pikaversepocketcup1"
"10091","Silentducky303","2","WIN","2PP",NA,"1-2-0drop","Starmie ex Golduck","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10109","Silentducky303","1","WIN","canicas",NA,"5-3-0","Starmie ex Golduck","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10119","mattyfax","1","LOSS","cHoTiMe",NA,"4-3-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10122","Krito","1","LOSS","Kaywi21",NA,"2-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"10132","Sushikraver","1","LOSS","Danilmendes",NA,"1-2-0drop","Marowak ex Sandslash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10142","Eliw222","4","LOSS","waftage",NA,"4-3-0drop","Ninetales Rapidash","Charizard ex Moltres ex","pikaversepocketcup1"
"10152","Eliw222","3","LOSS","morarlaurentiu13",NA,"6-2-0","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10162","Eliw222","2","WIN","Feeling4",NA,"3-2-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10172","Eliw222","1","WIN","Coreia",NA,"3-2-0drop","Ninetales Rapidash","Pikachu ex Zebstrika","pikaversepocketcup1"
"10182","Shunkiew","3","LOSS","jk650",NA,"2-2-0drop","Pikachu ex Raichu","Charizard ex Moltres ex","pikaversepocketcup1"
"10192","Shunkiew","2","LOSS","I4RU",NA,"6-2-0","Pikachu ex Raichu","Machamp ex Kangaskhan","pikaversepocketcup1"
"10202","Shunkiew","1","WIN","BelafuVGC",NA,"0-3-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","pikaversepocketcup1"
"102110","airya","5","LOSS","morarlaurentiu13",NA,"6-2-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10222","airya","4","WIN","KoNoRd",NA,"2-2-0drop","Pikachu ex Zebstrika","Pikachu ex Zebstrika","pikaversepocketcup1"
"10232","airya","3","WIN","JackJack",NA,"2-2-0drop","Pikachu ex Zebstrika","Arbok Weezing","pikaversepocketcup1"
"10242","airya","2","LOSS","leomc",NA,"9-2-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","pikaversepocketcup1"
"10252","airya","1","WIN","Die Kampfstube",NA,"0-1-0drop","Pikachu ex Zebstrika","Pikachu ex Raichu","pikaversepocketcup1"
"10262","chrisotore2","3","LOSS","Windy09",NA,"4-2-0drop","Pikachu ex Zebstrika","Pikachu ex Raichu","pikaversepocketcup1"
"10272","chrisotore2","2","LOSS","paanchooo",NA,"3-4-0drop","Pikachu ex Zebstrika","Pikachu ex Zebstrika","pikaversepocketcup1"
"10282","chrisotore2","1","WIN","babi",NA,"0-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10292","mrtawsiti3","3","LOSS","Taabouu",NA,"2-3-0drop","Pikachu ex Electrode","Arbok Weezing","pikaversepocketcup1"
"10302","mrtawsiti3","2","LOSS","Banter",NA,"4-4-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","pikaversepocketcup1"
"103110","mrtawsiti3","1","WIN","kaesus",NA,"0-3-0drop","Pikachu ex Electrode","Starmie ex Greninja","pikaversepocketcup1"
"10322","TotochuS","1","LOSS","mikeoandhisdoh",NA,"1-3-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","pikaversepocketcup1"
"10332","mrbradi","3","LOSS","amko_ex",NA,"1-6-0drop","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"10342","mrbradi","2","LOSS","Jano",NA,"4-2-0drop","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"10352","mrbradi","1","LOSS","kaimasamune",NA,"6-2-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10362","Sydney L","2","LOSS","glione",NA,"4-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"10372","Sydney L","1","WIN","Roxalien",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"10392","KuwabaraXL","7","LOSS","Egotheone",NA,"4-4-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","pikaversepocketcup1"
"10402","KuwabaraXL","6","LOSS","BigB123",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10419","KuwabaraXL","5","LOSS","SpartaPK",NA,"6-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10422","KuwabaraXL","4","WIN","Gomez02",NA,"2-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10432","KuwabaraXL","3","WIN","Danilmendes",NA,"1-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10442","KuwabaraXL","2","LOSS","MartimX10",NA,"3-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"10452","KuwabaraXL","1","WIN","HanSungGi",NA,"0-2-0drop","Mewtwo ex Gardevoir","Exeggutor ex Victreebel","pikaversepocketcup1"
"10462","joek0","1","LOSS","Deelek",NA,"4-3-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10472","Krohnos","4","LOSS","MikeySheehy",NA,"5-3-0","Melmetal Weezing","Pikachu ex Electrode","pikaversepocketcup1"
"10482","Krohnos","3","WIN","ElTocho1313",NA,"0-3-0drop","Melmetal Weezing","Arbok Pidgeot","pikaversepocketcup1"
"10492","Krohnos","2","LOSS","ProfessorHauke",NA,"2-3-0drop","Melmetal Weezing","Venusaur ex Exeggutor","pikaversepocketcup1"
"10502","Krohnos","1","LOSS","Hazelnut",NA,"3-3-0drop","Melmetal Weezing","Pikachu ex Zapdos ex","pikaversepocketcup1"
"105110","Tayz","2","LOSS","iyosz",NA,"1-2-0drop","Pikachu ex Zebstrika","Dragonite Snorlax","pikaversepocketcup1"
"10522","Tayz","1","LOSS","Resh",NA,"3-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10532","jk650","4","LOSS","TheTritriTyrant",NA,"3-4-0drop","Charizard ex Moltres ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"10542","jk650","3","WIN","Shunkiew",NA,"1-2-0drop","Charizard ex Moltres ex","Pikachu ex Raichu","pikaversepocketcup1"
"10552","jk650","2","LOSS","IHaeTypos",NA,"2-2-0drop","Charizard ex Moltres ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"10562","jk650","1","WIN","ccehk",NA,"1-6-0drop","Charizard ex Moltres ex","Moltres ex Centiskorch","pikaversepocketcup1"
"10572","Martinezn3114","1","WIN","costalucas",NA,"4-2-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10582","kn0w","6","LOSS","Lloda",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Raichu","pikaversepocketcup1"
"10592","kn0w","5","LOSS","gustavo01gk",NA,"6-2-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","pikaversepocketcup1"
"10602","kn0w","4","WIN","deniprase11",NA,"2-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10619","kn0w","3","LOSS","healer04z",NA,"7-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10622","kn0w","2","WIN","mckeon",NA,"1-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"10632","kn0w","1","WIN","Sigphale",NA,"4-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10642","SonicF","6","LOSS","Mikers",NA,"5-3-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10652","SonicF","5","WIN","sezaki",NA,"2-3-0drop","Pikachu ex Zebstrika","Ninetales Rapidash","pikaversepocketcup1"
"10662","SonicF","4","LOSS","canicas",NA,"5-3-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10672","SonicF","3","WIN","Roxalien",NA,"1-2-0drop","Pikachu ex Zebstrika","Pikachu ex Zebstrika","pikaversepocketcup1"
"10682","SonicF","2","WIN","gmrgud7875",NA,"3-4-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10692","SonicF","1","LOSS","Nidha",NA,"3-4-0drop","Pikachu ex Zebstrika","Alakazam Weezing","pikaversepocketcup1"
"10702","iplongno","5","LOSS","waftage",NA,"4-3-0drop","Pikachu ex Raichu","Charizard ex Moltres ex","pikaversepocketcup1"
"10719","iplongno","4","WIN","LearnedNat",NA,"2-5-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10722","iplongno","3","LOSS","DecaPod",NA,"5-2-0drop","Pikachu ex Raichu","Pikachu ex Zapdos ex","pikaversepocketcup1"
"10732","iplongno","2","WIN","KingHeracross",NA,"1-2-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","pikaversepocketcup1"
"10742","iplongno","1","WIN","Gaëtan Lugon-Moulin",NA,"4-3-0drop","Pikachu ex Raichu","Arbok Weezing","pikaversepocketcup1"
"10752","PHIS","7","LOSS","prayos",NA,"6-2-0","Exeggutor ex Beedrill","Pikachu ex Zebstrika","pikaversepocketcup1"
"10762","PHIS","6","WIN","alphawolf",NA,"3-4-0drop","Exeggutor ex Beedrill","Alakazam Weezing","pikaversepocketcup1"
"10772","PHIS","5","WIN","srl0l69",NA,"2-5-0drop","Exeggutor ex Beedrill","Pikachu ex Electrode","pikaversepocketcup1"
"10782","PHIS","4","WIN","KennyMcZooty",NA,"1-3-0drop","Exeggutor ex Beedrill","Lapras ex","pikaversepocketcup1"
"10792","PHIS","3","LOSS","Brandon J",NA,"6-2-0","Exeggutor ex Beedrill","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10801","PHIS","2","WIN","youngchul",NA,"0-2-0drop","Exeggutor ex Beedrill","Primeape Sandslash","pikaversepocketcup1"
"108110","PHIS","1","LOSS","grimers",NA,"3-2-0drop","Exeggutor ex Beedrill","Pikachu ex Zebstrika","pikaversepocketcup1"
"10822","k1511asd","5","LOSS","cHoTiMe",NA,"4-3-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10832","k1511asd","4","LOSS","Gqqq",NA,"6-2-0","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10842","k1511asd","3","WIN","Welc0",NA,"1-2-0drop","Ninetales Rapidash","Pikachu ex Electrode","pikaversepocketcup1"
"10852","k1511asd","2","LOSS","ACurry",NA,"4-3-0drop","Ninetales Rapidash","Pikachu ex Zebstrika","pikaversepocketcup1"
"10862","k1511asd","1","WIN","youngchul",NA,"0-2-0drop","Ninetales Rapidash","Primeape Sandslash","pikaversepocketcup1"
"10872","morgen","1","LOSS","toistr",NA,"5-3-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10892","BigB123","7","LOSS","Inazashi",NA,"5-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"10902","BigB123","6","WIN","KuwabaraXL",NA,"3-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10919","BigB123","5","WIN","SpyderMonke",NA,"2-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"10922","BigB123","4","LOSS","Curupira",NA,"5-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"10932","BigB123","3","WIN","Redrift",NA,"1-6-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"10952","BigB123","1","LOSS","BASSO",NA,"3-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"10962","juba","2","LOSS","prayos",NA,"6-2-0","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"10972","juba","1","LOSS","Disdai",NA,"6-2-0","Pikachu ex Electrode","Pikachu ex Electrode","pikaversepocketcup1"
"10982","hrsnfbrn","1","LOSS","Circlesh",NA,"1-2-0drop","Pikachu ex Zebstrika","Exeggutor ex Venusaur ex","pikaversepocketcup1"
"10992","Windy09","6","LOSS","CuteMeow",NA,"10-2-0","Pikachu ex Raichu","Pikachu ex Zapdos ex","pikaversepocketcup1"
"11006","Windy09","5","WIN","DT ",NA,"5-3-0","Pikachu ex Raichu","Machamp ex Onix","pikaversepocketcup1"
"110110","Windy09","4","WIN","BlackDog01",NA,"2-2-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","pikaversepocketcup1"
"11022","Windy09","3","WIN","chrisotore2",NA,"1-2-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","pikaversepocketcup1"
"11032","Windy09","2","LOSS","Kurnia Indra",NA,"5-3-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11042","Windy09","1","WIN","itzDorneles",NA,"0-2-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","pikaversepocketcup1"
"11072","Nidha","7","LOSS","Glaceon",NA,"4-4-0drop","Alakazam Weezing","Articuno ex Starmie ex","pikaversepocketcup1"
"11082","Nidha","6","LOSS","spikexx95",NA,"5-3-0","Alakazam Weezing","Blastoise ex Mewtwo","pikaversepocketcup1"
"11092","Nidha","5","LOSS","Charmee",NA,"6-2-0","Alakazam Weezing","Pikachu ex Electrode","pikaversepocketcup1"
"11109","Nidha","4","WIN","Leoner",NA,"2-2-0drop","Alakazam Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"11118","Nidha","3","WIN","ItsMik3yTime",NA,"1-3-0drop","Alakazam Weezing","Charizard ex Moltres ex","pikaversepocketcup1"
"11122","Nidha","2","LOSS","TheReaper_619",NA,"4-2-0drop","Alakazam Weezing","Charizard ex Moltres ex","pikaversepocketcup1"
"11132","Nidha","1","WIN","SonicF",NA,"3-3-0drop","Alakazam Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"11142","bignotto","1","LOSS","MeijiRestore",NA,"4-4-0drop","Articuno ex Starmie ex","Articuno ex Starmie ex","pikaversepocketcup1"
"11152","Aerodanktyl","2","LOSS","bhabha",NA,"1-3-0drop","Marowak ex Kabutops","Pikachu ex Zebstrika","pikaversepocketcup1"
"11162","Aerodanktyl","1","LOSS","Binbay",NA,"3-2-0drop","Marowak ex Kabutops","Ninetales Rapidash","pikaversepocketcup1"
"11172","KryptoRose","3","LOSS","gmrgud7875",NA,"3-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11182","KryptoRose","2","LOSS","Snowpoints",NA,"5-3-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"11192","KryptoRose","1","LOSS","Avalan",NA,"3-3-0drop","Mewtwo ex Gardevoir","Exeggutor ex Venusaur ex","pikaversepocketcup1"
"11202","godreld","3","LOSS","Drakontcg",NA,"2-5-0drop","Dragonite Weezing","Charizard ex Moltres ex","pikaversepocketcup1"
"112110","godreld","2","LOSS","Vny",NA,"4-3-0drop","Dragonite Weezing","Wigglytuff ex Weezing","pikaversepocketcup1"
"11222","godreld","1","WIN","alphawolf",NA,"3-4-0drop","Dragonite Weezing","Alakazam Weezing","pikaversepocketcup1"
"11232","deniprase11","4","LOSS","kn0w",NA,"3-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11242","deniprase11","3","LOSS","TheReaper_619",NA,"4-2-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"11252","deniprase11","2","WIN","Graviton",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"11262","deniprase11","1","WIN","Qndo3",NA,"0-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11272","testypres","4","LOSS","bk7",NA,"6-2-0","Marowak ex Dugtrio","Pikachu ex Zebstrika","pikaversepocketcup1"
"11282","testypres","3","LOSS","MaquinaGLS",NA,"9-1-0","Marowak ex Dugtrio","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11292","testypres","2","WIN","DenimBlue7",NA,"2-2-0drop","Marowak ex Dugtrio","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11302","testypres","1","WIN","Jinhiko",NA,"0-1-0drop","Marowak ex Dugtrio","Marowak ex Primeape","pikaversepocketcup1"
"113110","Neide","3","LOSS","shanerdf",NA,"2-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11322","Neide","2","LOSS","Tefal",NA,"4-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11332","Neide","1","WIN","tilti1",NA,"0-1-0drop","Mewtwo ex Gardevoir","Exeggutor ex Victreebel","pikaversepocketcup1"
"11342","Gaëtan Lugon-Moulin","7","LOSS","Alfha",NA,"6-2-0","Arbok Weezing","Charizard ex Moltres ex","pikaversepocketcup1"
"11352","Gaëtan Lugon-Moulin","6","WIN","sleepykoro",NA,"3-4-0drop","Arbok Weezing","Articuno ex Dragonite","pikaversepocketcup1"
"11362","Gaëtan Lugon-Moulin","5","WIN","Kanowki",NA,"2-5-0drop","Arbok Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"11372","Gaëtan Lugon-Moulin","4","WIN","Gyggz",NA,"4-4-0","Arbok Weezing","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11382","Gaëtan Lugon-Moulin","3","LOSS","Johnny_Ryall",NA,"2-4-0drop","Arbok Weezing","Ninetales Rapidash","pikaversepocketcup1"
"11392","Gaëtan Lugon-Moulin","2","WIN","Comatosis",NA,"0-2-0drop","Arbok Weezing","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11402","Gaëtan Lugon-Moulin","1","LOSS","iplongno",NA,"3-2-0drop","Arbok Weezing","Pikachu ex Raichu","pikaversepocketcup1"
"114110","Rami94","6","LOSS","Nirvax .",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"11422","Rami94","5","LOSS","nivde",NA,"8-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"11432","Rami94","4","WIN","99johnsteven",NA,"5-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11442","Rami94","3","WIN","Bacura",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11452","Rami94","2","WIN","LearnedNat",NA,"2-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11462","Rami94","1","WIN","LegendOfLuna",NA,"1-1-0drop","Mewtwo ex Gardevoir","Gengar ex Gengar","pikaversepocketcup1"
"11472","Valrl","7","LOSS","Tinleigh Collins",NA,"5-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11482","Valrl","6","WIN","EcoPaul",NA,"3-4-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","pikaversepocketcup1"
"11492","Valrl","5","WIN","Gekacu",NA,"2-5-0drop","Mewtwo ex Gardevoir","Marowak ex Dugtrio","pikaversepocketcup1"
"11502","Valrl","4","WIN","SMIKKELBEER",NA,"1-5-0drop","Mewtwo ex Gardevoir","Exeggutor ex Venusaur ex","pikaversepocketcup1"
"115110","Valrl","3","LOSS","VampRook",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11522","Valrl","2","LOSS","Kaywi21",NA,"2-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11532","Valrl","1","WIN","locowaffl3",NA,"0-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11542","su w","2","LOSS","Galick",NA,"2-5-0drop","Pikachu ex Raichu","Ninetales Rapidash","pikaversepocketcup1"
"11552","su w","1","LOSS","CasualConnr",NA,"1-2-0drop","Pikachu ex Raichu","Pikachu ex Electrode","pikaversepocketcup1"
"11562","Labryx","3","LOSS","Nemesis_Paris",NA,"1-2-0drop","Dragonite Weezing","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11572","Labryx","2","LOSS","alphawolf",NA,"3-4-0drop","Dragonite Weezing","Alakazam Weezing","pikaversepocketcup1"
"11582","Labryx","1","LOSS","Darffan",NA,"7-2-0","Dragonite Weezing","Pikachu ex Electrode","pikaversepocketcup1"
"11592","Yesik","2","LOSS","Senfapfel98",NA,"3-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"11602","Yesik","1","LOSS","razorix",NA,"5-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11619","Darker","3","LOSS","sufferomen",NA,"4-3-0drop","Mewtwo ex Gardevoir","Starmie ex Golduck","pikaversepocketcup1"
"11622","Darker","2","LOSS","Ria",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11632","Darker","1","WIN","Fitypaldis",NA,"2-2-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","pikaversepocketcup1"
"11642","tcgcthulhu","3","WIN","locowaffl3",NA,"0-3-0drop","Articuno ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11682","Chunti","5","LOSS","ProfessorHauke",NA,"2-3-0drop","Muk Weezing","Venusaur ex Exeggutor","pikaversepocketcup1"
"11702","Chunti","3","LOSS","Thiago Silva",NA,"3-5-0drop","Muk Weezing","Dragonite Weezing","pikaversepocketcup1"
"117110","Chunti","2","LOSS","Wienze",NA,"1-2-0drop","Muk Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"11732","JustDefault2","2","LOSS","shanerdf",NA,"2-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11742","JustDefault2","1","LOSS","PingShiRo",NA,"1-2-0drop","Mewtwo ex Gardevoir","Machamp ex Marowak ex","pikaversepocketcup1"
"11752","SherizardEx","3","LOSS","Inazashi",NA,"5-3-0","Lapras ex Starmie ex","Pikachu ex Zapdos ex","pikaversepocketcup1"
"11762","SherizardEx","2","LOSS","LionHunter",NA,"6-2-0","Lapras ex Starmie ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"11772","SherizardEx","1","WIN","oscarmg",NA,"2-5-0drop","Lapras ex Starmie ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11782","NeonRST","8","LOSS","morarlaurentiu13",NA,"6-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11792","NeonRST","7","WIN","waftage",NA,"4-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"11802","NeonRST","6","WIN","Polygondx",NA,"3-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11819","NeonRST","5","LOSS","Inazashi",NA,"5-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"11822","NeonRST","4","WIN","belmont",NA,"2-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11832","NeonRST","3","WIN","DocStark",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11842","NeonRST","2","WIN","Steelcutter",NA,"0-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"11852","NeonRST","1","LOSS","kaslow",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"11872","Lulu","7","LOSS","Numatinale",NA,"6-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11882","Lulu","6","WIN","Eureca",NA,"3-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11892","Lulu","5","LOSS","Hanamon",NA,"5-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11902","Lulu","4","WIN","Kurnia Indra",NA,"5-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"119110","Lulu","3","WIN","Chrisotore8",NA,"1-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11922","Lulu","2","LOSS","Glaceon",NA,"4-4-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","pikaversepocketcup1"
"11932","Lulu","1","WIN","dede495",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"11942","Ytram56","2","LOSS","Gekacu",NA,"2-5-0drop","Dugtrio Primeape","Marowak ex Dugtrio","pikaversepocketcup1"
"11952","Ytram56","1","LOSS","Sunho",NA,"3-3-0drop","Dugtrio Primeape","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11962","Jimily","2","LOSS","s4mule",NA,"4-3-0drop","Dragonite Weezing","Arcanine ex Moltres ex","pikaversepocketcup1"
"11972","Jimily","1","LOSS","KaMijai",NA,"1-2-0drop","Dragonite Weezing","Mewtwo ex Gardevoir","pikaversepocketcup1"
"11982","Beater","1","LOSS","spikexx95",NA,"5-3-0","Pikachu ex Raichu","Blastoise ex Mewtwo","pikaversepocketcup1"
"11992","rean2019","7","LOSS","Gyggz",NA,"4-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
