"","Player","Round","Result","Opponent","PlayerDeck","OpponentDeck"
"3212","Diomenico",1,"WIN","DWChronos","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3213","VULKAN",8,"LOSS","HAN S","Blastoise ex Tentacruel","Pikachu ex Zebstrika"
"3214","VULKAN",7,"LOSS","Ignacio Oyarzún A.","Blastoise ex Tentacruel","Marowak ex Pidgeot"
"3215","VULKAN",6,"WIN","Gima01","Blastoise ex Tentacruel","Mewtwo ex Gardevoir"
"3216","VULKAN",5,"WIN","Nhuada","Blastoise ex Tentacruel","Articuno ex Starmie ex"
"3217","VULKAN",4,"WIN","Circlesh","Blastoise ex Tentacruel","Venusaur ex Exeggutor ex"
"3218","VULKAN",3,"LOSS","aooo","Blastoise ex Tentacruel","Pikachu ex Zapdos ex"
"3219","VULKAN",2,"WIN","Netz","Blastoise ex Tentacruel","Marowak ex Primeape"
"3220","VULKAN",1,"LOSS","Livzzy","Blastoise ex Tentacruel","Pikachu ex Electrode"
"3221","dede495",10,"WIN","hannacout","Dragonite Frosmoth","Pikachu ex Electrode"
"3222","dede495",9,"LOSS","CTEM","Dragonite Frosmoth","Mewtwo ex Gardevoir"
"3223","dede495",8,"LOSS","6SegarrosSage","Dragonite Frosmoth","Starmie ex Articuno ex"
"3224","dede495",7,"WIN","mizu27","Dragonite Frosmoth","Marowak ex Golbat"
"3225","dede495",6,"LOSS","13thephantom","Dragonite Frosmoth","Alakazam Gardevoir"
"3226","dede495",5,"LOSS","Eloy204","Dragonite Frosmoth","Starmie ex Lapras ex"
"3227","dede495",4,"LOSS","FaiLuomoFr","Dragonite Frosmoth","Mewtwo ex Gardevoir"
"3228","dede495",3,"WIN","Lancet","Dragonite Frosmoth","Pikachu ex Zapdos ex"
"3229","dede495",2,"WIN","ALVARO58MC","Dragonite Frosmoth","Pikachu ex Raichu"
"3230","dede495",1,"LOSS","Kobink19","Dragonite Frosmoth","Mewtwo ex Gardevoir"
"3231","NewtonRuck",10,"LOSS","Gekacu","Mewtwo ex Gardevoir","Marowak ex Dugtrio"
"3233","NewtonRuck",8,"LOSS","Goose91","Mewtwo ex Gardevoir","Ninetales Rapidash"
"3234","NewtonRuck",7,"WIN","ponni318","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3235","NewtonRuck",6,"WIN","YamiHero","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3236","NewtonRuck",5,"LOSS","Jzin","Mewtwo ex Gardevoir","Ninetales Rapidash"
"3237","NewtonRuck",4,"WIN","clairsensei","Mewtwo ex Gardevoir","Nidoqueen Nidoking"
"3238","NewtonRuck",3,"LOSS","Raichuomega","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"3239","NewtonRuck",2,"WIN","Mr_J","Mewtwo ex Gardevoir","Alakazam Greninja"
"3240","NewtonRuck",1,"LOSS","Hazelnut","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3241","sLieR",7,"LOSS","Omniceph","Mewtwo ex Gardevoir","Charizard ex Moltres ex"
"3242","sLieR",6,"LOSS","Excelia","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3243","sLieR",5,"WIN","NeonRST","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3244","sLieR",4,"WIN","Lucien .SotoLamongan","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3245","sLieR",3,"LOSS","Sino_sawa","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3246","sLieR",2,"WIN","Rubfox","Mewtwo ex Gardevoir","Alakazam Weezing"
"3247","sLieR",1,"WIN","Neutranika","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3248","Doffy TCG",10,"LOSS","ventuswiingbladettv","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"3249","Doffy TCG",9,"WIN","Rahul","Charizard ex Moltres ex","Venusaur ex Lilligant"
"3250","Doffy TCG",8,"LOSS","meemz","Charizard ex Moltres ex","Starmie ex Articuno ex"
"3251","Doffy TCG",7,"WIN","shimobr","Charizard ex Moltres ex","Charizard ex Moltres ex"
"3252","Doffy TCG",6,"LOSS","Seung Woo Park","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"3253","Doffy TCG",5,"WIN","XrossHeart","Charizard ex Moltres ex","Charizard ex Moltres ex"
"3254","Doffy TCG",4,"LOSS","MewsChew","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"3255","Doffy TCG",3,"WIN","Binbay","Charizard ex Moltres ex","Ninetales Rapidash"
"3256","Doffy TCG",2,"LOSS","Jim","Charizard ex Moltres ex","Charizard ex Moltres ex"
"3257","Doffy TCG",1,"LOSS","Suhol","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"3258","shanerdf",8,"LOSS","TastySnacks","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"3259","shanerdf",7,"LOSS","TheTritriTyrant","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3260","shanerdf",6,"WIN","minsu","Pikachu ex Zapdos ex","Mewtwo ex Hypno"
"3261","shanerdf",5,"LOSS","DEADi","Pikachu ex Zapdos ex","Sandslash Primeape"
"3262","shanerdf",4,"WIN","teapot","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"3263","shanerdf",3,"WIN","LinkBloo","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3264","shanerdf",2,"WIN","beat","Pikachu ex Zapdos ex","Alakazam Greninja"
"3265","shanerdf",1,"LOSS","pikapikachu1989","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3266","spikexx95",7,"LOSS","Pogue","Blastoise ex Mewtwo","Starmie ex Articuno ex"
"3267","spikexx95",6,"LOSS","Joseph C","Blastoise ex Mewtwo","Pikachu ex Zapdos ex"
"3268","spikexx95",5,"WIN","epg_enry","Blastoise ex Mewtwo","Pikachu ex Electrode"
"3269","spikexx95",4,"WIN","MetalMax","Blastoise ex Mewtwo","Charizard ex Moltres ex"
"3270","spikexx95",3,"LOSS","Xapu69","Blastoise ex Mewtwo","Mewtwo ex Gardevoir"
"3271","spikexx95",2,"WIN","Dhiaz","Blastoise ex Mewtwo","Charizard ex Moltres ex"
"3272","spikexx95",1,"WIN","Rubbjo","Blastoise ex Mewtwo","Pikachu ex Zapdos ex"
"3273","wsgRon",6,"LOSS","Chrisotore8","Ninetales Rapidash","Mewtwo ex Gardevoir"
"3274","wsgRon",5,"WIN","Inazashi","Ninetales Rapidash","Pikachu ex Zapdos ex"
"3275","wsgRon",4,"WIN","zcy20071008","Ninetales Rapidash","Pikachu ex Electrode"
"3276","wsgRon",3,"WIN","Lobocword2","Ninetales Rapidash","Pikachu ex Zapdos ex"
"3277","wsgRon",2,"LOSS","Bteks","Ninetales Rapidash","Pikachu ex Zapdos ex"
"3278","wsgRon",1,"WIN","Luidee","Ninetales Rapidash","Charizard ex Moltres ex"
"3279","climaxx123",10,"LOSS","CTEM","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"3280","climaxx123",9,"LOSS","Tefal","Pikachu ex Raichu","Arbok Weezing"
"3281","climaxx123",8,"LOSS","정우 강","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"3282","climaxx123",7,"LOSS","leds","Pikachu ex Raichu","Pikachu ex Raichu"
"3283","climaxx123",6,"LOSS","Xeloo","Pikachu ex Raichu","Starmie ex Articuno ex"
"3284","climaxx123",5,"WIN","Maka","Pikachu ex Raichu","Pikachu ex Electrode"
"3285","climaxx123",4,"WIN","Myungjoon Kim","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"3286","climaxx123",3,"WIN","Boxcarjoethemagichobo","Pikachu ex Raichu","Arbok Weezing"
"3287","climaxx123",2,"WIN","Yesik","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"3288","climaxx123",1,"LOSS","hannacout","Pikachu ex Raichu","Pikachu ex Electrode"
"3289","Tawmpy",7,"LOSS","glione","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3290","Tawmpy",6,"LOSS","Gqqq","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3291","Tawmpy",5,"WIN","Izaya","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3292","Tawmpy",4,"WIN","LifeisVasco","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3293","Tawmpy",3,"WIN","clairsensei","Mewtwo ex Gardevoir","Nidoqueen Nidoking"
"3294","Tawmpy",2,"WIN","nader .","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3295","Tawmpy",1,"LOSS","Ytram56","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3297","ChiLLmatiC",9,"LOSS","KhaZ_5","Pikachu ex Raichu","Articuno ex Frosmoth"
"3298","ChiLLmatiC",8,"WIN","Soulman_EXE","Pikachu ex Raichu","Greninja Weezing"
"3299","ChiLLmatiC",7,"WIN","Daaawn","Pikachu ex Raichu","Marowak ex Hitmonlee"
"3300","ChiLLmatiC",6,"WIN","Traga","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"3301","ChiLLmatiC",5,"LOSS","zeroez","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"3302","ChiLLmatiC",4,"LOSS","정우 강","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"3303","ChiLLmatiC",3,"LOSS","RayIgnistar","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"3304","ChiLLmatiC",2,"LOSS","Guii","Pikachu ex Raichu","Venusaur ex Exeggutor ex"
"3305","ChiLLmatiC",1,"WIN","Caaethil","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"3306","knullified",8,"LOSS","Newmasaur","Alakazam Weezing","Pikachu ex Zebstrika"
"3307","knullified",7,"LOSS","pedrosantos","Alakazam Weezing","Pikachu ex Zapdos ex"
"3308","knullified",6,"WIN","Zaky","Alakazam Weezing","Pikachu ex Electrode"
"3309","knullified",5,"WIN","Alderori","Alakazam Weezing","Greninja Articuno ex"
"3310","knullified",4,"LOSS","Hideout","Alakazam Weezing","Pikachu ex Zapdos ex"
"3311","knullified",3,"WIN","Starlight","Alakazam Weezing","Mewtwo ex Gardevoir"
"3312","knullified",2,"WIN","AaronFreckz","Alakazam Weezing","Zapdos ex Pikachu ex"
"3313","knullified",1,"LOSS","Daaawn","Alakazam Weezing","Marowak ex Hitmonlee"
"3314","Edu_fs",9,"LOSS","meemz","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"3315","Edu_fs",8,"LOSS","Johnny_Ryall","Mewtwo ex Gardevoir","Ninetales Rapidash"
"3316","Edu_fs",7,"LOSS","Namco","Mewtwo ex Gardevoir","Arbok Weezing"
"3317","Edu_fs",6,"WIN","DanielOuteda","Mewtwo ex Gardevoir","Venusaur ex Lilligant"
"3318","Edu_fs",5,"WIN","erenelion","Mewtwo ex Gardevoir","Wigglytuff ex Weezing"
"3319","Edu_fs",4,"WIN","jayflackoz","Mewtwo ex Gardevoir","Venusaur ex Exeggutor ex"
"3320","Edu_fs",3,"LOSS","Lant","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3321","Edu_fs",2,"LOSS","Ceppetto","Mewtwo ex Gardevoir","Alakazam Weezing"
"3322","Edu_fs",1,"WIN","NamelessKinguuu","Mewtwo ex Gardevoir","Primeape Kabutops"
"3323","VermiCL",6,"LOSS","pogi","Pikachu ex Electrode","Mewtwo ex Gardevoir"
"3324","VermiCL",5,"WIN","Ceppetto","Pikachu ex Electrode","Alakazam Weezing"
"3325","VermiCL",4,"WIN","Kelosaurus","Pikachu ex Electrode","Marowak ex Primeape"
"3326","VermiCL",3,"WIN","Kux","Pikachu ex Electrode","Charizard ex Moltres ex"
"3327","VermiCL",2,"WIN","Math3euuss","Pikachu ex Electrode","Charizard ex Moltres ex"
"3328","VermiCL",1,"LOSS","Gerrycampo","Pikachu ex Electrode","Ninetales Rapidash"
"3329","Tuajedka",7,"LOSS","LionHunter","Marowak ex Golbat","Starmie ex Articuno ex"
"3330","Tuajedka",6,"WIN","Gavaz","Marowak ex Golbat","Marowak ex Sandslash"
"3331","Tuajedka",5,"WIN","Zlatan_Br","Marowak ex Golbat","Starmie ex Articuno ex"
"3332","Tuajedka",4,"WIN","Wienze","Marowak ex Golbat","Pikachu ex Zapdos ex"
"3333","Tuajedka",3,"WIN","BruGno","Marowak ex Golbat","Pikachu ex Zapdos ex"
"3334","Tuajedka",2,"LOSS","Sho3320","Marowak ex Golbat","Charizard ex Moltres ex"
"3335","Tuajedka",1,"LOSS","Martinezn3114","Marowak ex Golbat","Marowak ex Golbat"
"3336","Everythingisquietnow",9,"LOSS","Chriiiiistopher","Arcanine ex Moltres ex","Mewtwo ex Gardevoir"
"3337","Everythingisquietnow",8,"LOSS","Sake","Arcanine ex Moltres ex","Venusaur ex Lilligant"
"3338","Everythingisquietnow",7,"WIN","Rahul","Arcanine ex Moltres ex","Venusaur ex Lilligant"
"3339","Everythingisquietnow",6,"WIN","3333","Arcanine ex Moltres ex","Pikachu ex Zapdos ex"
"3340","Everythingisquietnow",5,"LOSS","Alytreta","Arcanine ex Moltres ex","Marowak ex Primeape"
"3341","Everythingisquietnow",4,"WIN","Soul92","Arcanine ex Moltres ex","Charizard ex Moltres ex"
"3342","Everythingisquietnow",3,"WIN","Spectra75","Arcanine ex Moltres ex","Starmie ex Articuno ex"
"3343","Everythingisquietnow",2,"LOSS","Stixxe","Arcanine ex Moltres ex","Articuno ex"
"3344","Everythingisquietnow",1,"LOSS","OhNoimGINGER","Arcanine ex Moltres ex","Pikachu ex Zapdos ex"
"3345","Steelcutter",7,"WIN","NHKorru","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"3346","Steelcutter",6,"WIN","elmatadorperu","Wigglytuff ex Weezing","Mewtwo ex Gardevoir"
"3347","Steelcutter",5,"LOSS","HSimpler","Wigglytuff ex Weezing","Charizard ex Moltres ex"
"3348","Steelcutter",4,"WIN","Masttah","Wigglytuff ex Weezing","Charizard ex Pidgeot"
"3349","Steelcutter",3,"LOSS","CallMeJarda","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"3350","Steelcutter",2,"LOSS","Vitinn182","Wigglytuff ex Weezing","Pikachu ex Electrode"
"3351","Steelcutter",1,"WIN","Barcode","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"3352","JIREN",7,"LOSS","NikoAlexander","Pikachu ex Electrode","Ninetales Rapidash"
"3353","JIREN",6,"WIN","meemz","Pikachu ex Electrode","Starmie ex Articuno ex"
"3354","JIREN",5,"WIN","3333","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"3355","JIREN",4,"LOSS","pateke16","Pikachu ex Electrode","Mewtwo ex Gardevoir"
"3356","JIREN",3,"WIN","Lowbattz","Pikachu ex Electrode","Mewtwo ex Gardevoir"
"3357","JIREN",2,"WIN","Manji","Pikachu ex Electrode","Pikachu ex Zebstrika"
"3358","JIREN",1,"LOSS","Lukeee36","Pikachu ex Electrode","Alakazam Weezing"
"3359","DownAirOnly",7,"WIN","hannacout","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"3360","DownAirOnly",6,"WIN","TaziGamer","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3361","DownAirOnly",5,"WIN","TTVGorgXD","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"3362","DownAirOnly",4,"LOSS","Ch3ckmate","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"3363","DownAirOnly",3,"WIN","Drix","Pikachu ex Zapdos ex","Ninetales Rapidash"
"3364","DownAirOnly",2,"LOSS","MrGlue","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3365","DownAirOnly",1,"LOSS","MoFro","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3366","B3rgie",10,"LOSS","Tellador","Mewtwo ex Gardevoir","Zapdos ex Pidgeot"
"3367","B3rgie",9,"LOSS","LinkBloo","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3368","B3rgie",8,"LOSS","Kurnia Indra","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3369","B3rgie",7,"LOSS","cjxskull","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3370","B3rgie",6,"WIN","MongaZone","Mewtwo ex Gardevoir","Lapras ex Articuno ex"
"3371","B3rgie",5,"WIN","Rikuboy","Mewtwo ex Gardevoir","Starmie ex Lapras ex"
"3372","B3rgie",4,"WIN","kokevich","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3373","B3rgie",3,"WIN","Boron123","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3376","mumeseka3",8,"WIN","13thephantom","Charizard ex Moltres ex","Alakazam Gardevoir"
"3377","mumeseka3",7,"LOSS","zeroez","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"3378","mumeseka3",6,"LOSS","akapelu","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"3379","mumeseka3",5,"WIN","M4ni","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"3380","mumeseka3",4,"WIN","ElChicoLu","Charizard ex Moltres ex","Alakazam Weezing"
"3381","mumeseka3",3,"WIN","KryptoRose","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"3382","mumeseka3",2,"LOSS","Diego M","Charizard ex Moltres ex","Lapras ex Starmie ex"
"3383","mumeseka3",1,"LOSS","Yoonie","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"3384","Daigo",7,"WIN","Feral96","Venusaur ex Lilligant","Charizard ex Moltres ex"
"3385","Daigo",6,"WIN","Myungjoon Kim","Venusaur ex Lilligant","Mewtwo ex Gardevoir"
"3386","Daigo",5,"WIN","Boxcarjoethemagichobo","Venusaur ex Lilligant","Arbok Weezing"
"3387","Daigo",4,"LOSS","OlivotecTTV","Venusaur ex Lilligant","Pikachu ex Zapdos ex"
"3388","Daigo",3,"LOSS","JoeUX9","Venusaur ex Lilligant","Charizard ex Moltres ex"
"3389","Daigo",2,"LOSS","kittentod","Venusaur ex Lilligant","Mewtwo ex Gardevoir"
"3390","Daigo",1,"WIN","Heberth","Venusaur ex Lilligant","Mewtwo ex Gardevoir"
"3391","KoNoRd",7,"LOSS","ttvStrawhat","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"3392","KoNoRd",6,"WIN","Bsmith5","Pikachu ex Electrode","Starmie ex Greninja"
"3393","KoNoRd",5,"LOSS","jaycefel","Pikachu ex Electrode","Exeggutor ex Exeggutor"
"3394","KoNoRd",4,"WIN","healer04z","Pikachu ex Electrode","Mewtwo ex Gardevoir"
"3395","KoNoRd",3,"WIN","Wienze","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"3396","KoNoRd",2,"WIN","thatguyinabeanie","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"3397","KoNoRd",1,"LOSS","Arylide","Pikachu ex Electrode","Marowak ex Pidgeot"
"3398","Th3RaT",7,"LOSS","Jazzz","Marowak ex Pidgeot","Pikachu ex Zapdos ex"
"3399","Th3RaT",6,"WIN","THBfra","Marowak ex Pidgeot","Mewtwo ex Gardevoir"
"3400","Th3RaT",5,"WIN","YamiHero","Marowak ex Pidgeot","Mewtwo ex Gardevoir"
"3401","Th3RaT",4,"WIN","Drake_Joris","Marowak ex Pidgeot","Lapras ex Starmie ex"
"3402","Th3RaT",3,"LOSS","Bintangbww","Marowak ex Pidgeot","Pikachu ex Electrode"
"3403","Th3RaT",2,"LOSS","k1511asd","Marowak ex Pidgeot","Ninetales Rapidash"
"3404","Th3RaT",1,"WIN","PeachSLP","Marowak ex Pidgeot","Mewtwo ex Gardevoir"
"3407","Drix",8,"LOSS","Sheedkash","Ninetales Rapidash","Pikachu ex Electrode"
"3408","Drix",7,"WIN","ElvisTek","Ninetales Rapidash","Marowak ex Sandslash"
"3409","Drix",6,"WIN","CMGato","Ninetales Rapidash","Marowak ex Sandslash"
"3410","Drix",5,"WIN","haito","Ninetales Rapidash","Pikachu ex Raichu"
"3411","Drix",4,"WIN","Zank404","Ninetales Rapidash","Marowak ex Kabutops"
"3412","Drix",3,"LOSS","DownAirOnly","Ninetales Rapidash","Pikachu ex Zapdos ex"
"3413","Drix",2,"LOSS","Peterolord","Ninetales Rapidash","Mewtwo ex Gardevoir"
"3414","Drix",1,"LOSS","clairsensei","Ninetales Rapidash","Nidoqueen Nidoking"
"3416","MewsChew",8,"LOSS","Gallant","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3417","MewsChew",7,"WIN","Suyeon","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3418","MewsChew",6,"WIN","NamelessQueen","Pikachu ex Zapdos ex","Starmie ex Frosmoth"
"3419","MewsChew",5,"LOSS","byjoju","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3420","MewsChew",4,"WIN","Doffy TCG","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"3421","MewsChew",3,"WIN","Encryption","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3422","MewsChew",2,"LOSS","meemz","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"3423","MewsChew",1,"LOSS","likeollywithab","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3424","chrisotore2",7,"LOSS","alejandritorneitos","Pikachu ex Electrode","Charizard ex Moltres ex"
"3425","chrisotore2",6,"WIN","bitencourt99","Pikachu ex Electrode","Articuno ex Lapras ex"
"3426","chrisotore2",5,"WIN","LethalChimken","Pikachu ex Electrode","Charizard ex Moltres ex"
"3427","chrisotore2",4,"WIN","Botijo","Pikachu ex Electrode","Pikachu ex Raichu"
"3428","chrisotore2",3,"LOSS","Joseph C","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"3429","chrisotore2",2,"LOSS","DreWooo","Pikachu ex Electrode","Vileplume Exeggutor"
"3430","chrisotore2",1,"WIN","MonkeyKingHero","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"3431","ElwhydeParaguay",7,"LOSS","izana2547z","Starmie ex Lapras ex","Pikachu ex Electrode"
"3432","ElwhydeParaguay",6,"WIN","Filantropo","Starmie ex Lapras ex","Pikachu ex Zapdos ex"
"3433","ElwhydeParaguay",5,"LOSS","kittentod","Starmie ex Lapras ex","Mewtwo ex Gardevoir"
"3434","ElwhydeParaguay",4,"WIN","Vitinn182","Starmie ex Lapras ex","Pikachu ex Electrode"
"3435","ElwhydeParaguay",3,"WIN","Craminator","Starmie ex Lapras ex","Golduck Lapras ex"
"3436","ElwhydeParaguay",2,"WIN","mrbradi","Starmie ex Lapras ex","Pikachu ex Zapdos ex"
"3437","ElwhydeParaguay",1,"LOSS","Ash_PTCG","Starmie ex Lapras ex","Pikachu ex Zapdos ex"
"3438","isparki",7,"WIN","MetalMax","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"3439","isparki",6,"WIN","WARBEN","Pikachu ex Zapdos ex","Ninetales Rapidash"
"3440","isparki",5,"LOSS","OlivotecTTV","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"3441","isparki",4,"WIN","atharez","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3442","isparki",3,"LOSS","Lulu","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"3443","isparki",2,"WIN","raaiizooo","Pikachu ex Zapdos ex","Dragonite Frosmoth"
"3444","isparki",1,"LOSS","earth","Pikachu ex Zapdos ex","Articuno ex Lapras ex"
"3447","Encryption",8,"WIN","zezozen","Mewtwo ex Gardevoir","Moltres ex Centiskorch"
"3448","Encryption",7,"WIN","KyluKz","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3449","Encryption",6,"WIN","Awbrn","Mewtwo ex Gardevoir","Starmie ex Golduck"
"3450","Encryption",5,"LOSS","Soulman_EXE","Mewtwo ex Gardevoir","Greninja Weezing"
"3451","Encryption",4,"WIN","Arctica3","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3452","Encryption",3,"LOSS","MewsChew","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3453","Encryption",2,"LOSS","Micalemei","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3454","Encryption",1,"LOSS","JohnSubbi","Mewtwo ex Gardevoir","Marowak ex Primeape"
"3455","gustavo01gk",7,"LOSS","DrakoHel","Machamp ex Primeape","Pikachu ex Electrode"
"3456","gustavo01gk",6,"WIN","MetalMax","Machamp ex Primeape","Charizard ex Moltres ex"
"3457","gustavo01gk",5,"WIN","matcha","Machamp ex Primeape","Pikachu ex Raichu"
"3458","gustavo01gk",4,"WIN","Koranat B","Machamp ex Primeape","Pikachu ex Zapdos ex"
"3459","gustavo01gk",3,"WIN","michvel","Machamp ex Primeape","Eelektross Pikachu ex"
"3460","gustavo01gk",2,"LOSS","Zalf","Machamp ex Primeape","Mewtwo ex Gardevoir"
"3461","gustavo01gk",1,"LOSS","Tohsarpau","Machamp ex Primeape","Charizard ex Moltres ex"
"3462","Gex",10,"WIN","psGz","Starmie ex Articuno ex","Mewtwo ex Gardevoir"
"3463","Gex",9,"WIN","Lucien .SotoLamongan","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"3464","Gex",8,"WIN","haito","Starmie ex Articuno ex","Pikachu ex Raichu"
"3468","Gex",4,"LOSS","Adoleta","Starmie ex Articuno ex","Charizard ex Moltres ex"
"3469","Gex",3,"LOSS","asd9424","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"3470","Gex",2,"LOSS","ttvStrawhat","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"3471","Gex",1,"WIN","Ranamokomoko","Starmie ex Articuno ex","Pikachu ex Raichu"
"3472","MITOMA_L",7,"LOSS","Gallant","Dragonite Weezing","Mewtwo ex Gardevoir"
"3473","MITOMA_L",6,"WIN","Limit","Dragonite Weezing","Marowak ex Marowak"
"3474","MITOMA_L",5,"WIN","Diogo Silva","Dragonite Weezing","Dragonite Weezing"
"3475","MITOMA_L",4,"LOSS","ThePhil","Dragonite Weezing","Mewtwo ex Gardevoir"
"3476","MITOMA_L",3,"WIN","godreld","Dragonite Weezing","Ninetales Rapidash"
"3478","MITOMA_L",1,"LOSS","SirEverart","Dragonite Weezing","Mewtwo ex Gardevoir"
"3479","Tt9911",5,"LOSS","seraru","Mewtwo ex Gardevoir","Arbok Weezing"
"3480","Tt9911",4,"WIN","MochaLatte","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3481","Tt9911",3,"LOSS","ffilo","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3482","Tt9911",2,"WIN","vtrPeres","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3483","Tt9911",1,"WIN","gyujin","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3484","Unowngamert",5,"LOSS","TwitchTVOdinzadaTV","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"3485","Unowngamert",4,"LOSS","Jetblackx","Mewtwo ex Gardevoir","Arbok Weezing"
"3486","Unowngamert",3,"WIN","Vitinn182","Mewtwo ex Gardevoir","Pikachu ex Electrode"
"3487","Unowngamert",2,"WIN","Hideout","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"3488","Unowngamert",1,"WIN","HAN S","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"3489","gibsantos",6,"LOSS","Kurnia Indra","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3490","gibsantos",5,"LOSS","Bheta51","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"3491","gibsantos",4,"LOSS","franco2796","Mewtwo ex Gardevoir","Charizard ex Moltres ex"
"3492","gibsantos",3,"WIN","PocketBoy","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
